date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-10-29,78.2342,79.6443,78.0765,78.7334,6686014,6686014,0.087588,0.111,78.7121,"Oct 29, 15",-0.13493849351973516
2015-10-30,79.8283,80.564,78.313,79.6005,11559260,11559260,0.867126,1.101,79.6728,"Oct 30, 15",-0.12541147154089222
2015-11-02,79.364,83.4544,79.2502,83.1742,14277339,14277339,3.5736,4.489,82.2645,"Nov 2, 15",-0.0861464289324373
2015-11-03,83.5771,86.3974,83.5771,85.9595,17669242,17669242,2.7853,3.349,85.5785,"Nov 3, 15",-0.05554371376962855
2015-11-04,85.8544,85.9244,84.1527,84.7595,11931305,11931305,-1.2,-1.396,84.9567,"Nov 4, 15",-0.06872838263666999
2015-11-05,84.1289,84.5668,82.6223,82.815,11184823,11184823,-1.9445,-2.294,83.2942,"Nov 5, 15",-0.09009303981330505
2015-11-06,82.0793,82.3946,80.3713,82.3596,9634175,9634175,-0.455462,-0.55,81.2901,"Nov 6, 15",-0.09509662164834724
2015-11-09,81.8778,82.7275,80.6691,80.8618,7659074,7659074,-1.4978,-1.819,81.2023,"Nov 9, 15",-0.11155328583922607
2015-11-10,80.6691,81.8922,80.4414,81.6589,6823080,6823080,0.797059,0.986,81.3321,"Nov 10, 15",-0.1027953695442938
2015-11-11,81.799,82.0775,80.4589,80.7479,6085309,6085309,-0.910924,-1.116,80.9284,"Nov 11, 15",-0.11280473065918942
2015-11-12,79.4867,79.837,78.1728,78.7071,8951325,8951325,-2.0408,-2.527,78.9381,"Nov 12, 15",-0.13522745751240456
2015-11-13,78.4531,78.8035,77.2444,77.6736,7676617,7676617,-1.0335,-1.313,77.8153,"Nov 13, 15",-0.146582753574144
2015-11-16,77.8332,81.0958,77.8332,81.0781,10101083,10101083,3.4045,4.383,79.8683,"Nov 16, 15",-0.1091767492759418
2015-11-17,80.9185,82.009,80.4131,80.7057,7575788,7575788,-0.372364,-0.459,81.0559,"Nov 17, 15",-0.11326839151434713
2015-11-18,81.0692,82.2306,80.7057,81.7519,6886943,6886943,1.0462,1.296,81.5251,"Nov 18, 15",-0.10177355770709806
2015-11-19,81.5923,81.8937,80.1738,80.5284,6096699,6096699,-1.2235,-1.497,80.8249,"Nov 19, 15",-0.11521642633945237
2015-11-20,80.3599,80.954,78.7375,78.9148,8561439,8561439,-1.6136,-2.004,79.4974,"Nov 20, 15",-0.13294541107600077
2015-11-23,78.5956,80.1826,78.1169,79.8014,6889551,6889551,0.886586,1.123,79.5748,"Nov 23, 15",-0.12320413822806833
2015-11-24,79.961,81.8317,79.6152,80.9894,8549048,8549048,1.188,1.489,81.168,"Nov 24, 15",-0.11015131604969731
2015-11-25,80.422,80.9628,79.9344,80.5639,5419252,5419252,-0.425562,-0.525,80.6412,"Nov 25, 15",-0.11482637988546908
2015-11-27,80.0142,80.5373,79.8369,80.1206,2547796,2547796,-0.443291,-0.55,80.0736,"Nov 27, 15",-0.11969701630943537
2015-11-30,80.3599,81.5302,80.1826,80.9628,12179419,12179419,0.842254,1.051,81.0436,"Nov 30, 15",-0.11044357620958342
2015-12-01,80.6525,82.142,80.6525,81.9913,6975541,6975541,1.0284,1.27,81.7586,"Dec 1, 15",-0.09914321626812342
2015-12-02,82.0977,82.1774,79.8191,80.0142,11830749,11830749,-1.9771,-2.411,80.5649,"Dec 2, 15",-0.12086605694897964
2015-12-03,80.5107,81.0515,78.3341,78.773,10996782,10996782,-1.2412,-1.551,79.3861,"Dec 3, 15",-0.13450339944712286
2015-12-04,77.9307,79.6329,76.6806,79.5354,13170192,13170192,0.762461,0.968,78.4805,"Dec 4, 15",-0.12612673982692924
2015-12-07,77.5583,77.9662,75.271,77.381,15378937,15378937,-2.1544,-2.709,76.9573,"Dec 7, 15",-0.14979761533289085
2015-12-08,76.0777,78.0194,74.6947,76.6363,13397477,13397477,-0.744731,-0.962,76.5646,"Dec 8, 15",-0.15797980108729556
2015-12-09,76.8402,79.9167,76.5122,77.6647,14675834,14675834,1.0284,1.342,77.9836,"Dec 9, 15",-0.1466805398682412
2015-12-10,78.0194,80.2004,77.6736,79.1719,14534835,14534835,1.5072,1.941,79.2738,"Dec 10, 15",-0.13012059577123722
2015-12-11,77.8864,77.9396,76.326,76.6363,13183094,13183094,-2.5356,-3.203,76.9603,"Dec 11, 15",-0.15797980108729556
2015-12-14,76.5122,79.429,75.7231,79.1985,12430668,12430668,2.5622,3.343,77.9087,"Dec 14, 15",-0.1298283356113511
2015-12-15,80.3068,82.8069,80.2802,82.2395,19158528,19158528,3.041,3.84,81.9376,"Dec 15, 15",-0.09641618725745689
